Catalogue Reference,"29.4919194, -98.4271969"
HL/PO/JO/10/1/78/7,"51.9201788, -1.1465561"
HL/PO/JO/10/1/78/8,"51.961422, -1.068876"
HL/PO/JO/10/1/78/9,"51.8942, -1.016792"
HL/PO/JO/10/1/78/10,"51.6586885, -1.86914"
HL/PO/JO/10/1/78/11,"51.953817, -1.002151"
HL/PO/JO/10/1/78/12,"51.481223, -1.370649"
HL/PO/JO/10/1/78/13,"52.04149, -0.978106"
HL/PO/JO/10/1/78/14,"51.901115, -1.058977"
HL/PO/JO/10/1/78/15,"50.702821, -2.285468"
HL/PO/JO/10/1/78/16,"51.970128, -0.95228"
HL/PO/JO/10/1/78/17,"51.965465, -1.041197"
HL/PO/JO/10/1/78/18,"52.001666, -1.0175209"
HL/PO/JO/10/1/78/19,"51.3916791, -0.2975288"
HL/PO/JO/10/1/78/20,"51.936281, -0.986572"
HL/PO/JO/10/1/78/21,"44.475278, -72.702222"
HL/PO/JO/10/1/78/22,"51.996795, -0.910303"
HL/PO/JO/10/1/78/23,"53.791665, -1.848581"
HL/PO/JO/10/1/78/24,"51.989984, -1.046743"
HL/PO/JO/10/1/78/25,"52.034968, -1.122224"
HL/PO/JO/10/1/78/26,"51.476821, -0.863167"
HL/PO/JO/10/1/78/27,"52.008352, -1.049542"
HL/PO/JO/10/1/78/28,"51.256659, -2.185772"
HL/PO/JO/10/1/78/29,"51.872722, -0.771721"
HL/PO/JO/10/1/78/30,"51.8478747, -0.6643975"
HL/PO/JO/10/1/78/31,"51.756371, -0.6494299"
HL/PO/JO/10/1/78/33,"51.891533, -0.783207"
HL/PO/JO/10/1/78/34,"51.803647, -0.693951"
HL/PO/JO/10/1/78/35,"51.951274, -0.7799469"
HL/PO/JO/10/1/78/36,"52.083043, -0.195751"
HL/PO/JO/10/1/78/37,"51.8632739, -0.581471"
HL/PO/JO/10/1/78/38,"42.4115819, -83.2963707"
HL/PO/JO/10/1/78/39,"51.8265139, -0.820544"
HL/PO/JO/10/1/78/40,"51.919129, -0.828129"
HL/PO/JO/10/1/78/41,"51.972263, -0.880798"
HL/PO/JO/10/1/78/42,"51.969112, -0.849995"
HL/PO/JO/10/1/78/43,"51.837421, -0.628359"
HL/PO/JO/10/1/78/44,"51.918248, -0.673847"
HL/PO/JO/10/1/78/45,"51.7519361, -0.637961"
HL/PO/JO/10/1/78/46,"51.870689, -0.6885019"
HL/PO/JO/10/1/78/47,"51.834248, -0.642792"
HL/PO/JO/10/1/78/48,"50.2923339, -3.655792"
HL/PO/JO/10/1/78/49,"51.93415, -0.716596"
HL/PO/JO/10/1/78/50,"51.92678, -0.761755"
HL/PO/JO/10/1/78/51,"51.942307, -0.836286"
HL/PO/JO/10/1/78/53,"52.968716, -2.682045"
HL/PO/JO/10/1/78/54,"11.5415182, 104.9179596"
HL/PO/JO/10/1/78/55,"51.863999, -0.736082"
HL/PO/JO/10/1/78/56,"51.944859, -0.878737"
HL/PO/JO/10/1/78/58,"52.2062306, 0.1224627"
HL/PO/JO/10/1/77/101,"52.254967, -1.444418"
HL/PO/JO/10/1/77/102,"51.40081, -1.173704"
HL/PO/JO/10/1/78/1,"51.305996, 0.3745839"
HL/PO/JO/10/1/78/2,"46.0467545, -71.0768685"
HL/PO/JO/10/1/78/3,"52.033, -0.97"
HL/PO/JO/10/1/78/4,"53.686675, -0.443368"
HL/PO/JO/10/1/78/5,"52.02691, -0.876207"
HL/PO/JO/10/1/78/6,"52.05493, -1.073477"
HL/PO/JO/10/1/78/7,"51.9201788, -1.1465561"
HL/PO/JO/10/1/78/8,"51.961422, -1.068876"
HL/PO/JO/10/1/78/9,"51.8942, -1.016792"
HL/PO/JO/10/1/78/10,"51.6586885, -1.86914"
HL/PO/JO/10/1/78/11,"51.953817, -1.002151"
HL/PO/JO/10/1/78/12,"51.481223, -1.370649"
HL/PO/JO/10/1/78/13,"52.04149, -0.978106"
HL/PO/JO/10/1/78/14,"51.901115, -1.058977"
HL/PO/JO/10/1/78/15,"50.702821, -2.285468"
HL/PO/JO/10/1/78/16,"51.970128, -0.95228"
HL/PO/JO/10/1/78/17,"51.965465, -1.041197"
HL/PO/JO/10/1/78/18,"52.001666, -1.0175209"
