Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL
HL/PO/JO/10/1/77/51,Protestation Return - Berkshire - Newbury Division - Greenham.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/52,Protestation Return - Berkshire - Newbury Division - Hampstead Marshall.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/53,Protestation Return - Berkshire - Newbury Division - Hampstead Norris.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/54,Protestation Return - Berkshire - Newbury Division - Hungerford.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/55,"Protestation Return - Berkshire - Newbury Division - Ilsley, East.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/56,"Protestation Return - Berkshire - Newbury Division - Ilsley, West.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/57,Protestation Return - Berkshire - Newbury Division - Inkpen.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/58,Protestation Return - Berkshire - Newbury Division - Kentbury.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/59,Protestation Return - Berkshire - Newbury Division - Leckhampstead.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/60,Protestation Return - Berkshire - Newbury Division - Letcombe Bassett.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/61,Protestation Return - Berkshire - Newbury Division - Letcombe Regis.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/62,Protestation Return - Berkshire - Newbury Division - Midgham.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/63,Protestation Return - Berkshire - Newbury Division - Newbury (parish).,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/64,Protestation Return - Berkshire - Newbury Division - Newbury (division).,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/65,Protestation Return - Berkshire - Newbury Division - Peasemore.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/66,Protestation Return - Berkshire - Newbury Division - Shalbourne.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/67,Protestation Return - Berkshire - Newbury Division - Shaw cum Donnington.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/68,"Protestation Return - Berkshire - Newbury Division - Shefford, Little.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/69,"Protestation Return - Berkshire - Newbury Division - Shefford, West.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/70,Protestation Return - Berkshire - Newbury Division - Speen Church.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/71,Protestation Return - Berkshire - Newbury Division - Speenhamland.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/72,Protestation Return - Berkshire - Newbury Division - Stanford Dingley.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/73,Protestation Return - Berkshire - Newbury Division - Wasing.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/74,Protestation Return - Berkshire - Newbury Division - Welford.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/75,Protestation Return - Berkshire - Newbury Division - Winterbourn Danvers.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/76,Protestation Return - Berkshire - Newbury Division - Woodspeen and Bagnor.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/77,Protestation Return - Berkshire - Newbury Division - Yattendon.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/78,Protestation Return - Berkshire - Reading Division - Aldermaston.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/79,Protestation Return - Berkshire - Reading Division - Beenham.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/80,Protestation Return - Berkshire - Reading Division - Blewbury.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/81,Protestation Return - Berkshire - Reading Division - Bradfield.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/82,Protestation Return - Berkshire - Reading Division - Bucklesbury.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/83,Protestation Return - Berkshire - Reading Division - Burghfield.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/84,Protestation Return - Berkshire - Reading Division - Cholsey.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/85,Protestation Return - Berkshire - Reading Division - Englefield.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/86,Protestation Return - Berkshire - Reading Division - Padworth.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/87,Protestation Return - Berkshire - Reading Division - Pangbourne.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/88,Protestation Return - Berkshire - Reading Division - Purley.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/89,"Protestation Return - Berkshire - Reading Division - Reading, St Giles.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/90,"Protestation Return - Berkshire - Reading Division - Reading, St Lawrence.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/91,"Protestation Return - Berkshire - Reading Division - Reading, St Mary.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/92,Protestation Return - Berkshire - Reading Division - Shinfield.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/93,Protestation Return - Berkshire - Reading Division - Sonning.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/94,Protestation Return - Berkshire - Reading Division - Stratfield Mortimer.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/95,Protestation Return - Berkshire - Reading Division - Sulham.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/96,Protestation Return - Berkshire - Reading Division - Sulhampstead Abbots.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/97,Protestation Return - Berkshire - Reading Division - Sulhampstead Banister.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/98,Protestation Return - Berkshire - Reading Division - Thatcham.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/99,Protestation Return - Berkshire - Reading Division - Tedmarsh.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/100,Protestation Return - Berkshire - Reading Division - Tilchurst. [Tilehurst].,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/101,Protestation Return - Berkshire - Reading Division - Ufton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/77/102,Protestation Return - Berkshire - Reading Division - Woolhampton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/1,Protestation Return - Buckinghamshire - Buckingham Hundred - Addington.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/2,Protestation Return - Buckinghamshire - Buckingham Hundred - Adstock.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/3,Protestation Return - Buckinghamshire - Buckingham Hundred - Akeley.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/4,Protestation Return - Buckinghamshire - Buckingham Hundred - Barton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/5,Protestation Return - Buckinghamshire - Buckingham Hundred - Beachampton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/6,Protestation Return - Buckinghamshire - Buckingham Hundred - Biddlesden.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/7,Protestation Return - Buckinghamshire - Buckingham Hundred - Caversfield.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/8,Protestation Return - Buckinghamshire - Buckingham Hundred - Chetwode.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/9,Protestation Return - Buckinghamshire - Buckingham Hundred - Edgcott.,1642,Protestation Returns,,,,,
