HL/PO/JO/10/1/78/18,"52.016224, -1.003175"
HL/PO/JO/10/1/78/19,
HL/PO/JO/10/1/78/20,"51.93811, -0.98176"
HL/PO/JO/10/1/78/21,
HL/PO/JO/10/1/78/22,
HL/PO/JO/10/1/78/23,"53.8741, -3.00074"
HL/PO/JO/10/1/78/24,"51.99038, -1.04447"
HL/PO/JO/10/1/78/25,"52.03481, -1.12468"
HL/PO/JO/10/1/78/26,"51.475559, -0.86387"
HL/PO/JO/10/1/78/27,"52.00604, -1.05037"
HL/PO/JO/10/1/78/28,"51.25747, -2.18513"
HL/PO/JO/10/1/78/29,"51.872108, -0.76977"
HL/PO/JO/10/1/78/30,"51.84683, -0.66272"
HL/PO/JO/10/1/78/31,"51.755989, -0.66011"
HL/PO/JO/10/1/78/32,
HL/PO/JO/10/1/78/33,"51.89231, -0.78039"
HL/PO/JO/10/1/78/34,"51.79776, -0.69077"
HL/PO/JO/10/1/78/35,"51.95109, -0.7746"
HL/PO/JO/10/1/78/36,"52.08276, -0.19627"
HL/PO/JO/10/1/78/37,"51.86187, -0.59151"
HL/PO/JO/10/1/78/38,
HL/PO/JO/10/1/78/39,"52.21171, 0.007465"
HL/PO/JO/10/1/78/40,"51.91808, -0.82822"
HL/PO/JO/10/1/78/41,"51.97368, -0.87927"
HL/PO/JO/10/1/78/42,"51.96958, -0.85075"
HL/PO/JO/10/1/78/43,"51.83801, -0.62963"
HL/PO/JO/10/1/78/44,"51.92052, -0.68129"
HL/PO/JO/10/1/78/45,"51.747364, -0.629745"
HL/PO/JO/10/1/78/46,
HL/PO/JO/10/1/78/47,"51.783686, -0.521645"
HL/PO/JO/10/1/78/48,"51.87776, -0.64415"
HL/PO/JO/10/1/78/49,"51.93663, -0.71834"
HL/PO/JO/10/1/78/50,"51.92774, -0.76324"
HL/PO/JO/10/1/78/51,"51.93876, -0.82898"
HL/PO/JO/10/1/78/52,"52.003502, -0.85864"
HL/PO/JO/10/1/78/53,"52.97057, -2.6852"
HL/PO/JO/10/1/78/54,"51.89819, -0.71869"
HL/PO/JO/10/1/78/55,"51.86351, -0.74004"
HL/PO/JO/10/1/78/56,
HL/PO/JO/10/1/78/57,
HL/PO/JO/10/1/78/58,
HL/PO/JO/10/1/79/40,"50.04656, -5.24487"
HL/PO/JO/10/1/79/41,"50.11279, -5.38215"
HL/PO/JO/10/1/79/42,"49.983299, -5.2"
HL/PO/JO/10/1/79/43,"50.05991, -5.28168"
HL/PO/JO/10/1/79/44,"50.2174, -5.17071"
HL/PO/JO/10/1/79/45,"50.10579, -5.267"
