Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL,target,NominatimLL,YahooLL
HL/PO/JO/10/1/85/14,Protestation Return - Devon - Plympton Hundred - Plumpton St Maurice.,1642,Protestation Returns,,,,,,Plumpton St Maurice,<null>,<null>
HL/PO/JO/10/1/85/15,Protestation Return - Devon - Plympton Hundred - Revelstoke.,1642,Protestation Returns,,,,,,Revelstoke,"50.3036639, -4.0215727",<null>
HL/PO/JO/10/1/85/16,Protestation Return - Devon - Plympton Hundred - Shaugh [Prior].,1642,Protestation Returns,,,,,,Shaugh ,"50.4501912, -4.0525391",<null>
HL/PO/JO/10/1/85/17,Protestation Return - Devon - Plympton Hundred - Wembury.,1642,Protestation Returns,,,,,,Wembury,"50.3241083, -4.0727463",<null>
HL/PO/JO/10/1/85/18,Protestation Return - Devon - Plympton Hundred - Yealampton.,1642,Protestation Returns,,,,,,Yealampton,<null>,<null>
HL/PO/JO/10/1/85/19,Protestation Return - Devon - Exminster Hundred - Dunchidcock.,1642,Protestation Returns,,,,,,Dunchidcock,<null>,<null>
HL/PO/JO/10/1/85/20,"Protestation Return - Devon - Exminster Hundred - Exminster, parish.",1642,Protestation Returns,,,,,,"Exminster, parish","50.6794957, -3.4937623",<null>
HL/PO/JO/10/1/85/21,Protestation Return - Devon - Exminster Hundred - Exminster hundred.,1642,Protestation Returns,,,,,,Exminster hundred,<null>,<null>
HL/PO/JO/10/1/85/22,Protestation Return - Devon - Exminster Hundred - Ide.,1642,Protestation Returns,,,,,,Ide,"50.7048509, -3.5568952",<null>
HL/PO/JO/10/1/85/23,Protestation Return - Devon - Exminster Hundred - Kenn.,1642,Protestation Returns,,,,,,Kenn,"50.6586147, -3.5286291",<null>
HL/PO/JO/10/1/85/24,Protestation Return - Devon - Exminster Hundred - Kenton.,1642,Protestation Returns,,,,,,Kenton,"50.6385293, -3.4677565",<null>
HL/PO/JO/10/1/85/25,Protestation Return - Devon - Exminster Hundred - Mamhead.,1642,Protestation Returns,,,,,,Mamhead,"50.6194653, -3.5137095",<null>
HL/PO/JO/10/1/85/26,Protestation Return - Devon - Exminster Hundred - Powderham.,1642,Protestation Returns,,,,,,Powderham,"50.6486636, -3.4616025",<null>
HL/PO/JO/10/1/85/27,Protestation Return - Devon - Exminster Hundred - Shillingford [St George].,1642,Protestation Returns,,,,,,Shillingford ,"51.6300512, -1.1400984",<null>
HL/PO/JO/10/1/85/28,Protestation Return - Devon - Fremington Hundred - Alverdiscott.,1642,Protestation Returns,,,,,,Alverdiscott,"51.0072205, -4.1113538",<null>
HL/PO/JO/10/1/85/29,Protestation Return - Devon - Fremington Hundred - Fremington.,1642,Protestation Returns,,,,,,Fremington,"51.0718382, -4.1307457",<null>
HL/PO/JO/10/1/85/30,Protestation Return - Devon - Fremington Hundred - Great Torrington.,1642,Protestation Returns,,,,,,Great Torrington,"50.9520536, -4.1428753",<null>
HL/PO/JO/10/1/85/31,Protestation Return - Devon - Fremington Hundred - Harwood.,1642,Protestation Returns,,,,,,Harwood,"54.6944717, -2.2833106",<null>
HL/PO/JO/10/1/85/32,Protestation Return - Devon - Fremington Hundred - Huntshaw.,1642,Protestation Returns,,,,,,Huntshaw,"50.986227, -4.1294116",<null>
HL/PO/JO/10/1/85/33,Protestation Return - Devon - Fremington Hundred - Instow.,1642,Protestation Returns,,,,,,Instow,"51.0525911, -4.1772082",<null>
HL/PO/JO/10/1/85/34,Protestation Return - Devon - Fremington Hundred - Newton Tracy.,1642,Protestation Returns,,,,,,Newton Tracy,"53.4515545, -2.6180367",<null>
HL/PO/JO/10/1/85/35,Protestation Return - Devon - Fremington Hundred - Roborough.,1642,Protestation Returns,,,,,,Roborough,"50.4411068, -4.1081341",<null>
HL/PO/JO/10/1/85/36,Protestation Return - Devon - Fremington Hundred - St Giles.,1642,Protestation Returns,,,,,,St Giles,"51.515625, -0.1281371",<null>
HL/PO/JO/10/1/85/37,Protestation Return - Devon - Fremington Hundred - Tawstock.,1642,Protestation Returns,,,,,,Tawstock,"51.0500476, -4.0629453",<null>
HL/PO/JO/10/1/85/38,Protestation Return - Devon - Fremington Hundred - West Leigh.,1642,Protestation Returns,,,,,,West Leigh,"50.3538109, -3.8521572",<null>
HL/PO/JO/10/1/85/39,"Protestation Return - Devon - Haytor, Teignbridge, And Parts Of Exminster, Wonford South, And Stanborough Hundreds - Letter from the members of Parliament for Devon, enclosing the returns hereafter mentioned, from Newton Abbotts.",1642,Protestation Returns,,,,,,"Letter from the members of Parliament for Devon, enclosing the returns hereafter mentioned, from Newton Abbotts",<null>,<null>
HL/PO/JO/10/1/85/40,"Protestation Return - Devon - Haytor, Teignbridge, And Parts Of Exminster, Wonford South, And Stanborough Hundreds - Returns by the justices of the peace of clergy and parish officials only.",1642,Protestation Returns,,,,,,Returns by the justices of the peace of clergy and parish officials only,<null>,<null>
HL/PO/JO/10/1/85/41,Protestation Return - Devon - Haytor Hundred - Abbots Kerswell.,1642,Protestation Returns,,,,,,Abbots Kerswell,"52.1416379, -2.1636035",<null>
HL/PO/JO/10/1/85/42,Protestation Return - Devon - Haytor Hundred - Berry Pomeroy.,1642,Protestation Returns,,,,,,Berry Pomeroy,"50.4377825, -3.6516866",<null>
HL/PO/JO/10/1/85/43,Protestation Return - Devon - Haytor Hundred - Brixham.,1642,Protestation Returns,,,,,,Brixham,"50.3952404, -3.514544",<null>
HL/PO/JO/10/1/85/44,Protestation Return - Devon - Haytor Hundred - Broadhempston.,1642,Protestation Returns,,,,,,Broadhempston,"50.4830854, -3.6868304",<null>
HL/PO/JO/10/1/85/45,Protestation Return - Devon - Haytor Hundred - Buckland - in - the - Moor.,1642,Protestation Returns,,,,,,Moor,"50.7316287, -4.234419",<null>
HL/PO/JO/10/1/85/46,Protestation Return - Devon - Haytor Hundred - Churston Ferrers.,1642,Protestation Returns,,,,,,Churston Ferrers,"50.3921772, -3.5463964",<null>
HL/PO/JO/10/1/85/47,Protestation Return - Devon - Haytor Hundred - Cockington.,1642,Protestation Returns,,,,,,Cockington,"50.463453, -3.559329",<null>
HL/PO/JO/10/1/85/48,Protestation Return - Devon - Haytor Hundred - Coffinswell.,1642,Protestation Returns,,,,,,Coffinswell,"50.5073692, -3.5684326",<null>
HL/PO/JO/10/1/85/49,Protestation Return - Devon - Haytor Hundred - Denbury.,1642,Protestation Returns,,,,,,Denbury,"50.5075946, -3.6602809",<null>
HL/PO/JO/10/1/85/50,Protestation Return - Devon - Haytor Hundred - Haccombe.,1642,Protestation Returns,,,,,,Haccombe,"50.5206901, -3.5560515",<null>
HL/PO/JO/10/1/85/51,Protestation Return - Devon - Haytor Hundred - Ipplepen.,1642,Protestation Returns,,,,,,Ipplepen,"50.4888611, -3.6400628",<null>
HL/PO/JO/10/1/85/52,Protestation Return - Devon - Haytor Hundred - King's Kerswell.,1642,Protestation Returns,,,,,,King's Kerswell,"52.147166, -2.2181778",<null>
HL/PO/JO/10/1/85/53,Protestation Return - Devon - Haytor Hundred - King's Wear.,1642,Protestation Returns,,,,,,King's Wear,"54.4310222, -0.5328581",<null>
HL/PO/JO/10/1/85/54,Protestation Return - Devon - Haytor Hundred - Little Hempston.,1642,Protestation Returns,,,,,,Little Hempston,<null>,<null>
HL/PO/JO/10/1/85/55,Protestation Return - Devon - Haytor Hundred - Marldon.,1642,Protestation Returns,,,,,,Marldon,"50.4576267, -3.5963049",<null>
HL/PO/JO/10/1/85/56,Protestation Return - Devon - Haytor Hundred - Newton Abbot and Woolborough.,1642,Protestation Returns,,,,,,Newton Abbot and Woolborough,<null>,<null>
HL/PO/JO/10/1/85/57,Protestation Return - Devon - Haytor Hundred - Paignton.,1642,Protestation Returns,,,,,,Paignton,"50.4377018, -3.5632704",<null>
HL/PO/JO/10/1/85/58,Protestation Return - Devon - Haytor Hundred - St Mary Church.,1642,Protestation Returns,,,,,,St Mary Church,"51.4347145, -3.4388573",<null>
HL/PO/JO/10/1/85/59,Protestation Return - Devon - Haytor Hundred - Staverton.,1642,Protestation Returns,,,,,,Staverton,"52.2505016, -1.2112319",<null>
HL/PO/JO/10/1/85/60,Protestation Return - Devon - Haytor Hundred - Stoke Gabriel.,1642,Protestation Returns,,,,,,Stoke Gabriel,"50.4038106, -3.6219714",<null>
HL/PO/JO/10/1/85/61,Protestation Return - Devon - Haytor Hundred - Torbrian.,1642,Protestation Returns,,,,,,Torbrian,<null>,<null>
HL/PO/JO/10/1/85/62,Protestation Return - Devon - Haytor Hundred - Tor Moham.,1642,Protestation Returns,,,,,,Tor Moham,<null>,<null>
HL/PO/JO/10/1/85/63,Protestation Return - Devon - Haytor Hundred - Widecombe - in - the - Moor.,1642,Protestation Returns,,,,,,Moor,"50.7316287, -4.234419",<null>
